"","Month","Neighbourhood","Mean","Count"
"124",4,"GREENWICH VILLAGE-CENTRAL",3720624.97916667,48
"125",5,"GREENWICH VILLAGE-CENTRAL",1368062.92647059,68
"126",6,"GREENWICH VILLAGE-CENTRAL",2172140.60869565,69
"127",7,"GREENWICH VILLAGE-CENTRAL",1637503.14473684,76
"128",8,"GREENWICH VILLAGE-CENTRAL",3261532.32258065,62
"129",9,"GREENWICH VILLAGE-CENTRAL",1319753.43859649,57
"130",10,"GREENWICH VILLAGE-CENTRAL",1243690.79310345,58
"131",11,"GREENWICH VILLAGE-CENTRAL",2972374.69565217,46
"132",12,"GREENWICH VILLAGE-CENTRAL",2631215.11666667,60
"133",1,"GREENWICH VILLAGE-WEST   ",1530930.75,24
"134",2,"GREENWICH VILLAGE-WEST   ",2853875.96296296,27
"135",3,"GREENWICH VILLAGE-WEST   ",1981815.84615385,26
"136",4,"GREENWICH VILLAGE-WEST   ",2370325.73809524,42
"137",5,"GREENWICH VILLAGE-WEST   ",4074671.725,40
"138",6,"GREENWICH VILLAGE-WEST   ",2828460.52083333,48
"139",7,"GREENWICH VILLAGE-WEST   ",1932745.38095238,63
"140",8,"GREENWICH VILLAGE-WEST   ",2030245.19230769,52
"141",9,"GREENWICH VILLAGE-WEST   ",2006038.34615385,52
"142",10,"GREENWICH VILLAGE-WEST   ",2901511.01639344,61
"143",11,"GREENWICH VILLAGE-WEST   ",5843912,37
"144",12,"GREENWICH VILLAGE-WEST   ",3177444.575,40
"145",1,"HARLEM-CENTRAL           ",621052.803030303,66
"146",2,"HARLEM-CENTRAL           ",2059247.02564103,39
"147",3,"HARLEM-CENTRAL           ",955140.5,42
"148",4,"HARLEM-CENTRAL           ",1335255.25,44
"149",5,"HARLEM-CENTRAL           ",613862.450980392,51
"150",6,"HARLEM-CENTRAL           ",2416992.76271186,59
"151",7,"HARLEM-CENTRAL           ",1488939.68571429,70
"152",8,"HARLEM-CENTRAL           ",1078129.75714286,70
"153",9,"HARLEM-CENTRAL           ",2107082.55737705,61
"154",10,"HARLEM-CENTRAL           ",1458204.89830508,59
"155",11,"HARLEM-CENTRAL           ",2986670.62790698,86
"156",12,"HARLEM-CENTRAL           ",1085270.24,75
"157",1,"HARLEM-EAST              ",992986.8125,16
"158",2,"HARLEM-EAST              ",666673.888888889,9
"159",3,"HARLEM-EAST              ",1263249.64285714,14
"160",4,"HARLEM-EAST              ",1614863.75,20
"161",5,"HARLEM-EAST              ",1419510.48275862,29
"162",6,"HARLEM-EAST              ",14749519.1666667,18
"163",7,"HARLEM-EAST              ",860019.714285714,35
"164",8,"HARLEM-EAST              ",1264648.83333333,12
"165",9,"HARLEM-EAST              ",2003026,14
"166",10,"HARLEM-EAST              ",540626.25,16
"167",11,"HARLEM-EAST              ",1226424.07692308,13
"168",12,"HARLEM-EAST              ",2854570.55555556,18
"169",1,"HARLEM-UPPER             ",6887371.33333333,3
"170",2,"HARLEM-UPPER             ",371991.666666667,3
"171",3,"HARLEM-UPPER             ",4057946.33333333,6
"172",4,"HARLEM-UPPER             ",1435895.45454545,11
"173",5,"HARLEM-UPPER             ",1150601.07142857,14
"174",6,"HARLEM-UPPER             ",2138560.95238095,21
"175",7,"HARLEM-UPPER             ",383274.545454545,11
"176",8,"HARLEM-UPPER             ",2958018.76470588,17
"177",9,"HARLEM-UPPER             ",2805298.66666667,9
"178",10,"HARLEM-UPPER             ",1047797,10
