,Unnamed: 0,Month,Neighbourhood,Mean,Count
130,131,11,GREENWICH VILLAGE-CENTRAL,2972374.69565217,46
131,132,12,GREENWICH VILLAGE-CENTRAL,2631215.11666667,60
132,133,1,GREENWICH VILLAGE-WEST,1530930.75,24
133,134,2,GREENWICH VILLAGE-WEST,2853875.96296296,27
134,135,3,GREENWICH VILLAGE-WEST,1981815.84615385,26
135,136,4,GREENWICH VILLAGE-WEST,2370325.73809524,42
136,137,5,GREENWICH VILLAGE-WEST,4074671.725,40
137,138,6,GREENWICH VILLAGE-WEST,2828460.52083333,48
138,139,7,GREENWICH VILLAGE-WEST,1932745.38095238,63
139,140,8,GREENWICH VILLAGE-WEST,2030245.19230769,52
140,141,9,GREENWICH VILLAGE-WEST,2006038.34615385,52
141,142,10,GREENWICH VILLAGE-WEST,2901511.01639344,61
142,143,11,GREENWICH VILLAGE-WEST,5843912.0,37
143,144,12,GREENWICH VILLAGE-WEST,3177444.575,40
144,145,1,HARLEM-CENTRAL,621052.803030303,66
145,146,2,HARLEM-CENTRAL,2059247.02564103,39
146,147,3,HARLEM-CENTRAL,955140.5,42
147,148,4,HARLEM-CENTRAL,1335255.25,44
148,149,5,HARLEM-CENTRAL,613862.450980392,51
149,150,6,HARLEM-CENTRAL,2416992.76271186,59
150,151,7,HARLEM-CENTRAL,1488939.68571429,70
151,152,8,HARLEM-CENTRAL,1078129.75714286,70
152,153,9,HARLEM-CENTRAL,2107082.55737705,61
153,154,10,HARLEM-CENTRAL,1458204.89830508,59
154,155,11,HARLEM-CENTRAL,2986670.62790698,86
155,156,12,HARLEM-CENTRAL,1085270.24,75
156,157,1,HARLEM-EAST,992986.8125,16
157,158,2,HARLEM-EAST,666673.888888889,9
158,159,3,HARLEM-EAST,1263249.64285714,14
159,160,4,HARLEM-EAST,1614863.75,20
160,161,5,HARLEM-EAST,1419510.48275862,29
161,162,6,HARLEM-EAST,14749519.1666667,18
162,163,7,HARLEM-EAST,860019.7142857141,35
163,164,8,HARLEM-EAST,1264648.83333333,12
164,165,9,HARLEM-EAST,2003026.0,14
165,166,10,HARLEM-EAST,540626.25,16
166,167,11,HARLEM-EAST,1226424.07692308,13
167,168,12,HARLEM-EAST,2854570.55555556,18
168,169,1,HARLEM-UPPER,6887371.33333333,3
169,170,2,HARLEM-UPPER,371991.66666666704,3
170,171,3,HARLEM-UPPER,4057946.33333333,6
171,172,4,HARLEM-UPPER,1435895.45454545,11
172,173,5,HARLEM-UPPER,1150601.07142857,14
173,174,6,HARLEM-UPPER,2138560.95238095,21
174,175,7,HARLEM-UPPER,383274.545454545,11
175,176,8,HARLEM-UPPER,2958018.76470588,17
176,177,9,HARLEM-UPPER,2805298.66666667,9
177,178,10,HARLEM-UPPER,1047797.0,10
178,179,11,HARLEM-UPPER,7352003.0,15
179,180,12,HARLEM-UPPER,2010263.94117647,17
180,181,1,HARLEM-WEST,50000.0,1
181,182,2,HARLEM-WEST,3907201.0,4
182,183,3,HARLEM-WEST,3157833.33333333,6
183,184,4,HARLEM-WEST,455000.0,1
184,185,5,HARLEM-WEST,3035844.0,3
185,186,6,HARLEM-WEST,1668125.0,4
186,187,7,HARLEM-WEST,705000.0,1
187,188,8,HARLEM-WEST,2107166.66666667,3
188,189,9,HARLEM-WEST,3983161.33333333,3
189,190,10,HARLEM-WEST,928205.333333333,3
190,191,11,HARLEM-WEST,8117500.0,2
191,192,12,HARLEM-WEST,5750000.0,4
192,193,1,INWOOD,1031307.0,11
193,194,2,INWOOD,312090.142857143,7
194,195,3,INWOOD,1296355.55555556,9
195,196,4,INWOOD,300250.0,6
196,197,5,INWOOD,852576.923076923,13
197,198,6,INWOOD,277500.0,8
198,199,7,INWOOD,867180.181818182,11
199,200,8,INWOOD,301062.5,8
200,201,9,INWOOD,1107867.76923077,13
201,202,10,INWOOD,2274029.18181818,11
202,203,11,INWOOD,1037700.0,12
203,204,12,INWOOD,1686234.95454545,22
204,205,1,JAVITS CENTER,520000.0,1
205,206,2,JAVITS CENTER,5999250.0,4
206,207,3,JAVITS CENTER,662500.0,2
207,208,4,JAVITS CENTER,21250000.0,1
208,209,5,JAVITS CENTER,424967.0,4
209,210,6,JAVITS CENTER,396043.4,5
210,211,7,JAVITS CENTER,56828333.3333333,3
211,212,8,JAVITS CENTER,30016033.5,6
212,213,9,JAVITS CENTER,315000.0,1
213,214,10,JAVITS CENTER,700499.5,2
214,215,11,JAVITS CENTER,3551422.75,8
215,216,12,JAVITS CENTER,33950000.0,3
216,217,1,KIPS BAY,617359.285714286,14
217,218,2,KIPS BAY,10396477.888888901,18
218,219,3,KIPS BAY,752666.666666667,12
219,220,4,KIPS BAY,2703546.41176471,17
220,221,5,KIPS BAY,860574.074074074,27
221,222,6,KIPS BAY,1109294.96969697,33
222,223,7,KIPS BAY,930940.25,24
